Sant Julià de Lòria	AD.06	AD-06	PARISH	Sant Julià de Loria	1		1
Ordino	AD.05	AD-05	PARISH		1		1
La Massana	AD.04	AD-04	PARISH		1		1
Encamp	AD.03	AD-03	PARISH		1		1
Canillo	AD.02	AD-02	PARISH		1		1
Andorra la Vella	AD.07	AD-07	PARISH		1		1
Escaldes-Engordany	AD.08	AD-08	PARISH		1		1
Umm Al Quwain	AE.07	AE-UQ	EMIRATE	Umm al Qaywayn	1		2
Ras Al Khaimah	AE.05	AE-RK	EMIRATE	Raʼs al Khaymah|Ra’s al Khaymah	1		2
Dubai	AE.03	AE-DU	EMIRATE	Dubayy	1		2
Sharjah	AE.06	AE-SH	EMIRATE	Ash Shāriqah	1		2
Fujairah	AE.04	AE-FU	EMIRATE	Al Fujayrah	1		2
‘Ajmān	AE.02	AE-AJ	EMIRATE	Ajman	1		2
Abu Dhabi	AE.01	AE-AZ	EMIRATE	Abū Z̧aby	1		2
Zābul	AF.28	AF-ZAB	PROVINCE	Kābul|Zabul	1		3
Wardak	AF.27	AF-WAR	PROVINCE	Maidan Wardak Province	1		3
Takhār	AF.26	AF-TAK	PROVINCE	Takhar	1		3
Sar-e Pul	AF.33	AF-SAR	PROVINCE	Sar-e Pol Province	1		3
Samangān	AF.32	AF-SAM	PROVINCE	Samangan	1		3
Parwān	AF.40	AF-PAR	PROVINCE	Parwan	1		3
Paktīkā	AF.29	AF-PKA	PROVINCE	Paktika|Paktiyā	1		3
Paktia	AF.36				1		3
Uruzgān	AF.39	AF-URU	PROVINCE	Oruzgan	1		3
Nīmrōz	AF.19	AF-NIM	PROVINCE	Nimroz	1		3
Nangarhār	AF.18	AF-NAN	PROVINCE	Nangarhar	1		3
Lōgar	AF.17	AF-LOG	PROVINCE	Logar	1		3
Laghmān	AF.35	AF-LAG	PROVINCE	Laghman	1		3
Kunduz	AF.24	AF-KDZ	PROVINCE		1		3
Kunaṟ	AF.34	AF-KNR	PROVINCE	Kunar	1		3
Kāpīsā	AF.14	AF-KAP	PROVINCE	Kapisa	1		3
Kandahār	AF.23	AF-KAN	PROVINCE	Kandahar	1		3
Kabul	AF.13				1		3
Jowzjān	AF.31	AF-JOW	PROVINCE	Jowzjan	1		3
Herāt	AF.11	AF-HER	PROVINCE	Herat	1		3
Helmand	AF.10	AF-HEL	PROVINCE		1		3
Ghōr	AF.09	AF-GHO	PROVINCE	Ghowr	1		3
Ghaznī	AF.08	AF-GHA	PROVINCE	Ghazni	1		3
Fāryāb	AF.07	AF-FYB	PROVINCE	Faryab	1		3
Farāh	AF.06	AF-FRA	PROVINCE	Farah	1		3
Bāmyān	AF.05	AF-BAM	PROVINCE	Bamyan	1		3
Balkh	AF.30	AF-BAL	PROVINCE		1		3
Baghlān	AF.03	AF-BGL	PROVINCE	Baghlan	1		3
Bādghīs	AF.02	AF-BDG	PROVINCE	Badghis	1		3
Badakhshān	AF.01	AF-BDS	PROVINCE	Badakhshan	1		3
Khōst	AF.37	AF-KHO	PROVINCE	Khowst	1		3
Nūristān	AF.38	AF-NUR	PROVINCE	Nuristan	1		3
