name	type	country	admin_level
sant julia de loria	parish	020|ad|andorra|and	1
ordino	parish	020|ad|andorra|and	1
la massana	parish	020|ad|andorra|and	1
encamp	parish	020|ad|andorra|and	1
canillo	parish	020|ad|andorra|and	1
andorra la vella	parish	020|ad|andorra|and	1
escaldes-engordany	parish	020|ad|andorra|and	1
umm al qaywayn|umm al quwain	emirate	ae|784|are|united arab emirates	1
ras al khaimah|ra's al khaymah	emirate	ae|784|are|united arab emirates	1
dubayy|dubai	emirate	ae|784|are|united arab emirates	1
sharjah|ash shariqah	emirate	ae|784|are|united arab emirates	1
al fujayrah|fujairah	emirate	ae|784|are|united arab emirates	1
'ajman|ajman	emirate	ae|784|are|united arab emirates	1
abu zaby|abu dhabi	emirate	ae|784|are|united arab emirates	1
abu dhabi municipality		ae|784|are|united arab emirates	2
al ain municipality		ae|784|are|united arab emirates	2
al dhafra		ae|784|are|united arab emirates	2
al fujairah municipality		ae|784|are|united arab emirates	2
dibba al fujairah municipality		ae|784|are|united arab emirates	2
dhaid		ae|784|are|united arab emirates	2
ajman		ae|784|are|united arab emirates	2
khor fakkan		ae|784|are|united arab emirates	2
dibba al hesn		ae|784|are|united arab emirates	2
kalba		ae|784|are|united arab emirates	2
ras al khaimah		ae|784|are|united arab emirates	2
umm al quwain		ae|784|are|united arab emirates	2
milehah		ae|784|are|united arab emirates	2
al madam		ae|784|are|united arab emirates	2
sharjah		ae|784|are|united arab emirates	2
al hamriyah		ae|784|are|united arab emirates	2
manama		ae|784|are|united arab emirates	2
masfut		ae|784|are|united arab emirates	2
al batayih		ae|784|are|united arab emirates	2
sector 6		ae|784|are|united arab emirates	2
sector 2		ae|784|are|united arab emirates	2
sector 8		ae|784|are|united arab emirates	2
sector 9		ae|784|are|united arab emirates	2
sector 1		ae|784|are|united arab emirates	2
sector 5		ae|784|are|united arab emirates	2
sector 4		ae|784|are|united arab emirates	2
sector 7		ae|784|are|united arab emirates	2
sector 3		ae|784|are|united arab emirates	2
kabul|zabul	province	afghanistan|af|004|afg	1
wardak|maidan wardak province	province	afghanistan|af|004|afg	1
takhar	province	afghanistan|af|004|afg	1
sar-e pol province|sar-e pul	province	afghanistan|af|004|afg	1
samangan	province	afghanistan|af|004|afg	1
parwan	province	afghanistan|af|004|afg	1
paktiya|paktika	province	afghanistan|af|004|afg	1
paktia		afghanistan|af|004|afg	1
uruzgan|oruzgan	province	afghanistan|af|004|afg	1
nimroz	province	afghanistan|af|004|afg	1
nangarhar	province	afghanistan|af|004|afg	1
logar	province	afghanistan|af|004|afg	1
laghman	province	afghanistan|af|004|afg	1
kunduz	province	afghanistan|af|004|afg	1
kunar	province	afghanistan|af|004|afg	1
kapisa	province	afghanistan|af|004|afg	1
kandahar	province	afghanistan|af|004|afg	1
kabul		afghanistan|af|004|afg	1
jowzjan	province	afghanistan|af|004|afg	1
herat	province	afghanistan|af|004|afg	1
helmand	province	afghanistan|af|004|afg	1
